id,terminal,station,municipality,lat,lng,nb_docks,install_date,last_day
93,C32013,JFK / UMASS Station,Boston,42.320494,-71.051122,15,4/8/2013,11/27/2013
94,D32020,Charlestown - Main St at Austin St,Boston,42.375603,-71.064608,15,4/8/2013,11/27/2013
95,M32007,Cambridge St - at Columbia St / Webster Ave,Cambridge,42.372969,-71.094445,15,4/8/2013,11/27/2013
96,M32013,Cambridge Main Library at Broadway / Trowbridge St,Cambridge,42.373379,-71.111075,19,4/8/2013,11/27/2013
98,D32021,Charlestown - Warren St at Chelsea St,Boston,42.371848,-71.060292,19,4/8/2013,11/27/2013
99,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.35892,-71.057629,21,4/8/2013,11/27/2013
100,B32017,Dudley Square,Boston,42.328654,-71.084198,15,4/8/2013,11/18/2013
101,B32020,BIDMC - Brookline at Burlington St,Boston,42.345733,-71.100694,15,9/24/2013,11/25/2013
102,C32002,Boston Medical Center -  East Concord at Harrison Ave,Boston,42.336437,-71.073089,19,5/23/2013,11/20/2013
103,C32008,Boylston at Fairfield,Boston,42.348762,-71.082383,19,5/2/2013,11/21/2013
104,C32012,Andrew Station - Dorchester Ave at Humboldt Pl,Boston,42.330716,-71.057044,15,6/3/2013,11/18/2013
105,C32015,Mt Pleasant Ave / Dudley Town Common,Boston,42.325333,-71.075354,15,4/8/2013,11/18/2013
106,C32016,West Broadway at Dorchester St,Boston,42.335693,-71.045859,19,9/24/2013,11/20/2013
107,C32017,South Boston Library - 646 East Broadway,Boston,42.335741,-71.03877,15,9/24/2013,11/27/2013
108,C32018,E. Cottage St at Columbia Rd,Boston,42.320561,-71.06198,19,9/26/2013,11/20/2013
109,C32019,Upham's Corner - Ramsey St at Dudley St,Boston,42.317225,-71.065421,15,10/3/2013,11/18/2013
110,D32001,New Balance - Guest St. at Life St.,Boston,42.356975,-71.145442,15,4/26/2013,11/19/2013
111,D32003,TD Garden - Causeway at Portal Park #2,Boston,42.366222,-71.059914,27,4/8/2013,11/27/2013
112,D32004,Franklin St. / Arch St.,Boston,42.355402,-71.058087,23,4/8/2013,11/22/2013
113,D32016,Charles Circle - Charles St. at Cambridge St.,Boston,42.36069,-71.070884,15,4/8/2013,11/21/2013
114,D32022,TD Garden - Causeway at Portal Park #1,Boston,42.365942,-71.060515,27,4/8/2013,11/27/2013
115,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,Boston,42.378338,-71.048927,19,5/10/2013,11/27/2013
116,D32024,Charles St at Beacon St,Boston,42.356052,-71.069849,15,9/24/2013,11/21/2013
117,D32025,Milk St at India St,Boston,42.358508,-71.052984,19,9/25/2013,11/22/2013
118,D32026,Hayes Square at Vine St.,Boston,42.377022,-71.056605,19,9/26/2013,11/27/2013
119,D32027,New Balance Store - Boylston at Dartmouth,Boston,42.350413,-71.07655,19,10/29/2013,11/27/2013
120,E32001,JP Monument - South St at Centre St,Boston,42.309467,-71.115645,19,9/25/2013,11/23/2013
121,E32002,JP Centre - Centre Street at Myrtle Street,Boston,42.31309,-71.114175,15,9/25/2013,11/23/2013
122,E32003,Hyde Square at Barbara St,Boston,42.320998,-71.110833,15,9/25/2013,11/23/2013
123,E32004,Egleston Square at Columbus Ave,Boston,42.315692,-71.098634,15,9/25/2013,11/27/2013
124,E32005,Green St T,Boston,42.310579,-71.107341,15,10/9/2013,11/23/2013
125,E32006,Jackson Square T at Centre St,Boston,42.322913,-71.100164,23,10/9/2013,11/23/2013
126,K32002,Washington Square at Washington St. / Beacon St.,Brookline,42.339335,-71.13493,15,4/26/2013,11/27/2013
127,K32004,JFK Crossing at Harvard St. / Thorndike St.,Brookline,42.346563,-71.128374,15,4/8/2013,11/27/2013
128,M32004,Kendall T at Main St,Cambridge,42.362457,-71.08497,19,4/8/2013,11/27/2013
129,M32015,Harvard University River Houses / Plympton St at Memorial Drive,Cambridge,42.369832,-71.118201,19,4/26/2013,11/27/2013
130,M32021,Harvard University Gund Hall at Quincy St / Kirkland S,Cambridge,42.376369,-71.114025,15,4/8/2013,11/27/2013
131,M32022,Lower Cambridgeport at Magazine St/Riverside Rd,Cambridge,42.356954,-71.113687,19,4/8/2013,11/27/2013
132,M32023,Harvard University / SEAS Cruft-Pierce Halls at 29 Oxford St,Cambridge,42.377945,-71.116865,17,4/8/2013,11/27/2013
133,M32024,Harvard University Radcliffe Quadrangle at Shepard St / Garden St,Cambridge,42.380287,-71.125107,19,4/8/2013,11/27/2013
134,M32025,Mass Ave / Linear Park,Cambridge,42.397828,-71.130516,19,7/2/2013,11/27/2013
135,M32026,359 Broadway - Broadway at Fayette Street,Cambridge,42.370803,-71.104412,19,7/2/2013,11/27/2013
136,M32027,Biogen Idec - Binney St / Sixth St,Cambridge,42.366095,-71.086388,19,8/9/2013,11/27/2013
137,M32029,Porter Square Station,Cambridge,42.387995,-71.119084,19,6/17/2013,11/27/2013
138,S32005,Wilson Square,Somerville,42.385582,-71.113341,15,4/8/2013,11/27/2013
139,S32006,Davis Square,Somerville,42.396969,-71.123024,25,4/8/2013,11/27/2013
140,S32007,Ball Square,Somerville,42.400146,-71.112708,15,4/8/2013,11/27/2013
141,S32008,Powder House Circle,Somerville,42.400877,-71.116772,15,4/8/2013,11/27/2013
142,S32009,Packard Ave / Powderhouse Blvd,Somerville,42.40449,-71.123413,15,7/10/2013,11/27/2013
143,S32010,Somerville Hospital at Highland Ave / Crocker St,Somerville,42.39082,-71.10942,15,7/10/2013,11/27/2013
144,S32011,Teele Square at 239 Holland St,Somerville,42.402763,-71.126908,15,7/10/2013,11/27/2013
145,S32012,Summer St at Cutter St,Somerville,42.394002,-71.120406,15,10/9/2013,11/27/2013
